title,text,date
https://www.sikayetim.com/detay/343667/teb-tebde-hesabinizin-turune-ve-bu-hesap-icin-ekstra-bedeller-odemediginize-dikkat-edin-,"Arsızlığı işletmeler için tanımlamak istesek, bu benzetmenin günümüzde en iyi karşılığı sanırım bankalar üzerinden olur. TEB ile uzun zamandır çalışmıyordum, çalıştığım yurtdışı bankanın TEB ile bağlantısı sebebiyle yakın zamanda kullanmaya karar verdim. İlk kullanımdan sonra ilk sürprizi gördüm, Kredi Kartı ödemesi için para yatırdığım hesabımdan 1 Ekim?de ... ",25 Ekim 2022
https://www.sikayetim.com/detay/343500/phantom-wallet-phantom-wallet-cuzdanim-bosaltildi-140-solanam-gitti,Phantom wallet cüzdanım boşaltıldı 140 tane solanam gitti lütfen yardım edin tüm birikimim elimden gitti çok zor durumdayım.Şikayetim var.Bu durumun biran evel çözümlenmesini istiyorum.... ,27 Eylül 2022
https://www.sikayetim.com/detay/343399/ziraat-bankasi-mobil-bankacilik,"Eylül ayının başında üniversite öğrenimi gören oğluma para göndermek için ziraat bankasından bank  kart aldık. İnternet bankacılığından yararlanabilmesi için cep mobili indirdik . ilgili bölümler doldurulduktan sonra onay kısmına basıldığı zaman GİRİŞ YAPTIĞINIZ KART BİLGİLERİ BAŞVURU İÇİN UYGUN DEĞİLDİR. ifadesi yazdığını gördük.
Kart verirken uygun olan b... ",09 Eylül 2022
https://www.sikayetim.com/detay/343288/marmara-fx-marmarafx-com-musterileri-kasten-zarara-ugratiyor,"Marmara fx, Marmara Investment LTD.  firmasında forex işlemleri için hesap açmıştım. Alman ve Amerikan borsalarında ve petrolde açılmış toplamda 9 tane işlemim vardı. Dün açık bütün işlemlerimde alış tutarlarını sisteme müdahale ederek değiştirdiler. 104 USD den aldığım ve zararda olduğu petrol fiyatı sisteme müdahale edilerek önce 105 'e sonra 109 'a en bug... ",15 Ağustos 2022
https://www.sikayetim.com/detay/343133/yapi-kredi-bankasi-yapi-kredi-bankasi-insanlari-yaniltiyor,"Hangi kredi ile işbirliği yaparak , hangi kredi üzerinden müşteri olanlara Faizsiz 5000 TL taksitli nakit avans vereceklerini söyleyip kampanya yapıyorlar . Hangi kredi üzerinden başvuru yaptım. Kredi kartları gönderdiler . Kredi kartının tesliminden sonra 7 iş günü bitiminde kampanyanın aktif olacağını söylediler. Bugün 10.gün ortada kampanya diye bişey yok... ",10 Temmuz 2022
https://www.sikayetim.com/detay/343043/teb-kampanya,Nisan ayı içerisinde Binbin kampanyası ile BINBIN2022 koduyla başvuru yaptım kodu başvuru alanına yazdım Hesabi açtım Hediye ödül vermedi TEB bankası Üyeliğimde kampanya kodu eklenmediğini söylediler sistem hataları yüzünden mağdur olan biziz 1 aydır sorunu çözmüyorlar Böyle banka Müşteriyi mağdur Eden Sistem Banka görmedim bir de önce müşteri memnuniyeti di... ,21 Haziran 2022
https://www.sikayetim.com/detay/342918/vakifbank-vakifbank,Van ilinde görevli askeri personelim. Çalıştığımız banka teb idi daha sonra vakifbanka geçildi. Banka görevlileri buraya gelip form doldurup imzalattılar. Fakat ben güncel numaramı yazmama rağmen benim telefon numaramı kabul etmiyor. Güvenlik sebebiyle şuan karakol dışı araç hareketliliği durduruldu. Bankaya gel diyorlar. Müşteri hizmetleri banka yardımcı ol... ,29 Mayıs 2022
https://www.sikayetim.com/detay/342779/ziraat-bankasi-kart-aidat-ucreti,2020 yılında bankanızdan konut kredisi çektim. istemediğim halde bana kredi kartı verdiler ve verirken hiçbir yıllık ücreti olmadığını söylediler. Sonu 6617 ile biten kredi kartıma yıllık aidat ücreti yansıtılmış. Müşteri hizmetlerine de bağlanamıyorum zaten. Kartıma yansıtılan aidat ücretinin iptalini istiyorum.... ,10 Mayıs 2022
https://www.sikayetim.com/detay/342651/garanti-bankasi-garanti-bankasi-odulumu-vermiyor,Garanti Bankası'nın yapmış olduğu arkadaşını davet et kampanyasına katılmak istedim. Önce müşteri hizmetlerini aradım eskiden beri Garanti Bankası'nı kullandığımı ve katılıp katılamayacağımı sordum. Yeni hesap olmadığı için promosyon kodu girsem dahi ödül alamayacağımı ama arkadaşlarımı davet edersem ödül alabileceğimi söylediler. Ben de 3 kişiyi davet ettim... ,22 Nisan 2022
https://www.sikayetim.com/detay/342519/birevim-com-birevim-teslimatimi-surekli-erteliyor,Merhabalar;Birevim şirketine 31.03.2020 tarihinde 3303550-1 Finansman numaralı 70.000 TL'lik araç projesine kayıt yaptırdım. Ekim 2021 de teslimat yapılması gerekiyordu. Fakat o tarihte ödeme yapılmadı. Şubat a ertelendi şimdi de 17 Haziran'a ertelediklerini söylüyorlar. 3 aydır Şube ile merkez arasında dönüp dolaşıyorum. Şube merkeze atıyor merkez şubeye at... ,07 Nisan 2022
https://www.sikayetim.com/detay/342399/yapi-kredi-bankasi-hesap-haczi,"Merhaba,Manevi tazminat davası ile ilgili icra dosyası Yapı Kredi bankasına haciz yazısı göndermiştir.Yapı Kredi tüm hesaplarına bloke koymuş ve beni mağdur etmiştir.Yargıtayın ileriye dönük hesaplara haciz ve bloke konulamaz maddesinin uygulanmasını talep ederim.Zira diğer çalıştığım 3 banka ileriye dönük haciz uygulanmaz maddesini dikkate alıp hacze itiraz... ",18 Mart 2022
https://www.sikayetim.com/detay/342294/garanti-beyaz-esya-satis-ve-sevis-hizmetleri-iznim-olmadan-kartim-kapatildi,"Garantiban telefon bankacılığı ile kart ücret iptali için konuştum iade edilmeyeceğini söyledi müşteri hizmetleri. Bir gün sonrada iznim olmadan kartımı kapattılar.
Şikayetçiyim.
Kart ücretini iade edip kartımı tekrar açsınlar lütfen.
Hayriye Ülüş
... ",04 Mart 2022
https://www.sikayetim.com/detay/342155/finansbank-kart-uyelik-ucreti,"10 yıllık Finansbank kredi kartı kullanıcısıyım,ayrıca emekli maaş müşterisiyim,tüm otomatik ödemelerim ve harcamalarımı bu kartınızdan yapmaktayım.Kredi kartı ekstrama 114,5 tl kart üyelik ücreti yansımıştır.2020 yılında şubenize Emekli maaşımı taşıdığımda,emeklilerden kredi kart aidatı alınmıyacağını belirtmişlerdir.Müşteri hizmetlerindeki arkadaşlar bunun... ",15 Şubat 2022
https://www.sikayetim.com/detay/342016/garanti-bankasi-harcama-itirazi,Garanti bankasında tarafımdan yapılmayan 154 TL'lik işlemin harcama itirazını yaptım. Hıcbırsekılde banka gerı donus yapmadı konu ile ilgili garanti bankası cok ilgisiz süreç uzun ve ilgisiz bir banka.... ,31 Ocak 2022
https://www.sikayetim.com/detay/341884/denizbank-oyunun-kuralini-net-yazmamak,"Kasım ve Aralık aylarında 5 fatura ödemeye 60 lira kampanyasına katıldım. işlemleri yerine getirdim fakat ödeme yapmadılar aradığımda siz dahil değilsiniz dediler neden dedim. Katılım kuralında ""daha önce işlem yapmamış olmak"" yazıyormuş. Bu ifade açık ve net değil. Daha önce hiç fatura ödemesi yapmamış olmak denilemez miydi? İnsanları kasıtlı yönlendirip so... ",15 Ocak 2022
https://www.sikayetim.com/detay/341788/leontrades-leontrades,"Merhaba, Önce bu firma ya ait google da şikayet var mı diye baktık. Sikayet yoktu.. 100 dolar yatirim yaptık yüzde 15 kar verdiler 1 gun için. Ertesi gün 115 dolar olarak çektik. Sonra plan 3 dedikleri 1.000 dolar'dan başlayan pakete geçtik.Müşteri hizmetleri ile online görüşebiliyoruz.Dolar karşılığında btc rakamını öğrenip yatırabiliyoruz.Sonra bize plan 3... ",04 Ocak 2022
https://www.sikayetim.com/detay/341636/akbank-akbank-kart-ucreti,12.11.2021 tarihinde kesilen kart kredi kartı aidatının iadesini istediğimde müşteri hizmetleri malesef bankamız iyade talebinizi kabul etmiyor. Geri ödemiyor yıl içinde kullandığınız icin alınmıştır diyor gectiğimiz yıllar içinde kredi kartını en az altı ay kapatmayıp bizle kalırsanız iade ederiz  ve iyadede etdiler. Ama bu sene 190 küsür şura kart  aidatın... ,21 Aralık 2021
